1q_gates,E_route_abstract,E_translate,Hellinger_distance,Hellinger_fidelity,JSD,Renyi2_entropy,Shannon_entropy,TVD,abstract_2q_operations,active_physical_qubit_count,active_physical_qubits,algorithmic_success,algorithmic_success_margin_95,benchmark,bootstrap_uncertainty,compile_time_sec,compiler,depth,execution_index,final_native_2q_operations,gate_count,heavy_output_probability,logical_1q_gates,logical_abstract_2q_gates,logical_depth,logical_gate_count,min_entropy,native_2q_operations,one_qubit_depth,routed_1q_gates,routed_abstract_2q_gates,routed_gate_count,routing_induced_2q_overhead,scheduled_duration_dt,semantic_fidelity,status,total_2q_expansion,translated_1q_gates,two_qubit_depth,unique_2q_edge_count,unique_physical_edges_used
28,1.0,1.0,0.212909,0.911394,0.045963,1.257849,1.688403,0.0878,5,6,"[87, 97, 107, 108, 109, 118]",0.9122,0.005547,GHZ_6,"{'Hellinger_fidelity_std': 0.002901, 'TVD_std': 0.002891, 'JSD_std': 0.001556}",0.008022,SABRE_O3,19,55,5,33,"{'value': 0, 'status': 'VALID'}",1,5,7,6,1.049308,,13,28,5,33,0,,,COMPILED_UNVERIFIED,1.0,28,5,5,5
140,2.235294,1.0,0.135931,0.963387,0.026358,9.806904,9.896497,0.150895,38,10,"[69, 77, 78, 84, 85, 86, 87, 88, 89, 97]",,,CrossEnt_10,"{'Hellinger_fidelity_std': 0.002548, 'TVD_std': 0.00379, 'JSD_std': 0.001701}",0.008053,SABRE_O3,67,56,38,178,"{'value': 0, 'status': 'VALID'}",20,17,13,37,8.643856,,42,140,38,178,21,,,COMPILED_UNVERIFIED,2.235294,140,24,9,9
1644,8.85,1.0,0.155837,0.95202,0.034594,8.739892,8.862209,0.177084,354,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",,,QFT_9_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.002482, 'TVD_std': 0.004172, 'JSD_std': 0.001744}",2.476574,PROMETHEUS,1142,57,354,1998,"{'value': 0.3097, 'status': 'VALID'}",12,40,20,52,7.70275,,841,1644,354,1998,314,,,COMPILED_UNVERIFIED,8.85,1644,310,8,8
190,3.454545,1.0,0.099945,0.980122,0.014347,6.884111,6.941986,0.114612,38,7,"[0, 1, 2, 3, 4, 5, 6]",,,CrossEnt_7,"{'Hellinger_fidelity_std': 0.001513, 'TVD_std': 0.00448, 'JSD_std': 0.001092}",1.300076,PROMETHEUS,102,58,38,228,"{'value': 0, 'status': 'VALID'}",14,11,10,25,6.107803,,69,190,38,228,27,,,COMPILED_UNVERIFIED,3.454545,190,34,6,6
47,1.0,1.0,0.208431,0.915001,0.043927,1.252348,1.742341,0.0847,7,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.9153,0.005457,GHZ_8,"{'Hellinger_fidelity_std': 0.002885, 'TVD_std': 0.00287, 'JSD_std': 0.001542}",0.918852,PROMETHEUS,34,59,7,54,"{'value': 0, 'status': 'VALID'}",1,7,9,8,1.076432,,26,47,7,54,0,,,COMPILED_UNVERIFIED,1.0,47,7,7,7
59,1.0,1.0,0.268075,0.861436,0.073042,1.425072,2.149457,0.1384,9,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8616,0.006768,GHZ_10,"{'Hellinger_fidelity_std': 0.003494, 'TVD_std': 0.003498, 'JSD_std': 0.001942}",1.316569,PROMETHEUS,42,60,9,68,"{'value': 0, 'status': 'VALID'}",1,9,11,10,1.175599,,32,59,9,68,0,,,COMPILED_UNVERIFIED,1.0,59,9,9,9
292,3.647059,1.0,0.155084,0.952477,0.034206,9.735409,9.862898,0.17058,62,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",,,CrossEnt_10,"{'Hellinger_fidelity_std': 0.002614, 'TVD_std': 0.003693, 'JSD_std': 0.001722}",0.058197,PROMETHEUS,156,61,62,354,"{'value': 0, 'status': 'VALID'}",20,17,13,37,7.965784,,102,292,62,354,45,,,COMPILED_UNVERIFIED,3.647059,292,55,9,9
297,6.666667,1.0,0.12539,0.968802,0.022516,4.924878,5.462074,0.145209,60,6,"[0, 1, 2, 3, 4, 5]",,,QAOA_6_MAXCUT,"{'Hellinger_fidelity_std': 0.001756, 'TVD_std': 0.004618, 'JSD_std': 0.001269}",0.056783,PROMETHEUS,167,62,60,357,"{'value': 0.7801, 'status': 'VALID'}",12,9,9,21,3.57175,,128,297,60,357,51,,,COMPILED_UNVERIFIED,6.666667,297,45,5,5
899,6.875,1.0,0.115733,0.973391,0.019224,6.851354,6.923147,0.137325,165,7,"[0, 1, 2, 3, 4, 5, 6]",,,QFT_7_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001651, 'TVD_std': 0.004466, 'JSD_std': 0.001193}",2.323678,PROMETHEUS,605,63,165,1064,"{'value': 0.3722, 'status': 'VALID'}",10,24,16,34,6.107803,,466,899,165,1064,141,,,COMPILED_UNVERIFIED,6.875,899,147,6,6
1,1.0,1.0,0.218555,0.906749,0.048415,1.272241,1.662792,0.0926,4,5,"[125, 126, 127, 128, 129]",0.9074,0.005681,GHZ_5,"{'Hellinger_fidelity_std': 0.003, 'TVD_std': 0.002983, 'JSD_std': 0.001615}",0.473768,TKET,22,64,4,5,"{'value': 0, 'status': 'VALID'}",1,4,6,5,1.064917,,1,1,4,5,0,,,COMPILED_UNVERIFIED,1.0,29,4,4,4
101,2.7,1.666667,0.13877,0.961857,0.027423,9.798709,9.892293,0.150666,135,12,"[105, 106, 107, 108, 109, 117, 118, 125, 126, 127, 128, 129]",,,QFT_10_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.002713, 'TVD_std': 0.003819, 'JSD_std': 0.00177}",1.865311,TKET,474,65,225,236,"{'value': 0.3313, 'status': 'VALID'}",13,50,22,63,8.429731,,35,101,135,236,85,,,COMPILED_UNVERIFIED,4.5,1315,81,12,12
41,1.0,1.0,0.199828,0.921732,0.040321,1.232411,1.668973,0.0781,6,7,"[0, 1, 2, 3, 4, 5, 6]",0.9219,0.005259,GHZ_7,"{'Hellinger_fidelity_std': 0.002675, 'TVD_std': 0.002667, 'JSD_std': 0.00142}",1.955093,PROMETHEUS,30,66,6,47,"{'value': 0, 'status': 'VALID'}",1,6,8,7,1.078868,,23,41,6,47,0,,,COMPILED_UNVERIFIED,1.0,41,6,6,6
43,1.0,1.0,0.230083,0.896926,0.053772,1.303105,1.901044,0.1021,8,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",0.8979,0.005934,GHZ_9,"{'Hellinger_fidelity_std': 0.00304, 'TVD_std': 0.003045, 'JSD_std': 0.001647}",0.008566,SABRE_O3,28,67,8,51,"{'value': 0, 'status': 'VALID'}",1,8,10,9,1.063409,,19,43,8,51,0,,,COMPILED_UNVERIFIED,1.0,43,8,8,8
23,1.0,1.0,0.143607,0.95918,0.020744,1.118351,1.325317,0.0407,3,4,"[0, 1, 2, 3]",0.9593,0.003873,GHZ_4,"{'Hellinger_fidelity_std': 0.001923, 'TVD_std': 0.001912, 'JSD_std': 0.000993}",1.171692,PROMETHEUS,18,68,3,26,"{'value': 0, 'status': 'VALID'}",1,3,5,4,1.027969,,14,23,3,26,0,,,COMPILED_UNVERIFIED,1.0,23,3,3,3
9,1.2,1.333333,0.028852,0.998336,0.001201,3.990511,3.995214,0.0327,6,4,"[125, 126, 127, 128]",,,CrossEnt_4,"{'Hellinger_fidelity_std': 0.000411, 'TVD_std': 0.004204, 'JSD_std': 0.000297}",0.596408,TKET,41,69,8,15,"{'value': 0, 'status': 'VALID'}",8,5,7,13,3.809954,,3,9,6,15,1,,,COMPILED_UNVERIFIED,1.6,81,7,3,3
18,2.857143,1.6,0.320623,0.80497,0.113307,4.667701,4.839726,0.233677,20,5,"[125, 126, 127, 128, 129]",,,QAOA_5_MAXCUT,"{'Hellinger_fidelity_std': 0.004071, 'TVD_std': 0.004594, 'JSD_std': 0.002541}",0.699267,TKET,157,70,32,38,"{'value': 0.661, 'status': 'VALID'}",10,7,8,17,3.631288,,10,18,20,38,13,,,COMPILED_UNVERIFIED,4.571429,210,27,4,4
100,3.111111,1.0,0.319647,0.806091,0.143012,5.003288,5.482206,0.398886,28,6,"[44, 45, 46, 47, 48, 57]",,,QAOA_6_MAXCUT,"{'Hellinger_fidelity_std': 0.003911, 'TVD_std': 0.004583, 'JSD_std': 0.002955}",0.008774,SABRE_O3,73,71,28,128,"{'value': 0.6904, 'status': 'VALID'}",12,9,9,21,3.811979,,50,100,28,128,19,,,COMPILED_UNVERIFIED,3.111111,100,22,5,5
172,4.5,1.0,0.18267,0.934377,0.034387,2.79793,3.277915,0.076339,27,4,"[0, 1, 2, 3]",,,QAOA_4_MAXCUT,"{'Hellinger_fidelity_std': 0.002584, 'TVD_std': 0.003818, 'JSD_std': 0.001381}",0.055065,PROMETHEUS,119,72,27,199,"{'value': 0.8334, 'status': 'VALID'}",8,6,7,14,2.017417,,95,172,27,199,21,,,COMPILED_UNVERIFIED,4.5,172,26,3,3
119,2.2,1.0,0.095783,0.981735,0.013182,8.897416,8.947403,0.109775,33,9,"[87, 88, 97, 107, 108, 109, 110, 118, 129]",,,CrossEnt_9,"{'Hellinger_fidelity_std': 0.001596, 'TVD_std': 0.003904, 'JSD_std': 0.001147}",0.007954,SABRE_O3,58,73,33,152,"{'value': 0, 'status': 'VALID'}",18,15,12,33,8.158429,,38,119,33,152,18,,,COMPILED_UNVERIFIED,2.2,119,20,8,8
174,4.166667,1.0,0.161623,0.948439,0.037142,7.381976,7.685279,0.176142,50,8,"[69, 78, 86, 87, 88, 89, 90, 91]",,,QAOA_8_MAXCUT,"{'Hellinger_fidelity_std': 0.002334, 'TVD_std': 0.004479, 'JSD_std': 0.001684}",0.008092,SABRE_O3,111,74,50,224,"{'value': 0.6928, 'status': 'VALID'}",16,12,11,28,5.461164,,76,174,50,224,38,,,COMPILED_UNVERIFIED,4.166667,174,34,7,7
23,1.0,1.0,0.187903,0.930632,0.035709,1.200278,1.529674,0.0688,4,5,"[87, 97, 107, 108, 109]",0.9312,0.004961,GHZ_5,"{'Hellinger_fidelity_std': 0.002389, 'TVD_std': 0.002393, 'JSD_std': 0.001261}",0.007838,SABRE_O3,16,75,4,27,"{'value': 0, 'status': 'VALID'}",1,4,6,5,1.033274,,11,23,4,27,0,,,COMPILED_UNVERIFIED,1.0,23,4,4,4
32,1.6,1.0,0.376774,0.736235,0.192533,3.167398,3.324142,0.44,8,4,"[73, 79, 92, 93]",,,CrossEnt_4,"{'Hellinger_fidelity_std': 0.004305, 'TVD_std': 0.002309, 'JSD_std': 0.003015}",0.007369,SABRE_O3,26,76,8,40,"{'value': 0, 'status': 'VALID'}",8,5,7,13,2.980512,,18,32,8,40,3,,,COMPILED_UNVERIFIED,1.6,32,7,3,3
74,2.5,1.0,0.195197,0.925248,0.039516,3.025437,3.413931,0.098179,15,4,"[85, 86, 87, 97]",,,QAOA_4_MAXCUT,"{'Hellinger_fidelity_std': 0.002738, 'TVD_std': 0.00456, 'JSD_std': 0.001475}",0.008848,SABRE_O3,45,77,15,89,"{'value': 0.8182, 'status': 'VALID'}",8,6,7,14,2.202904,,34,74,15,89,9,,,COMPILED_UNVERIFIED,2.5,74,10,3,3
38,1.0,1.0,0.215647,0.909156,0.04708,1.269292,1.785774,0.0904,7,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.9096,0.00562,GHZ_8,"{'Hellinger_fidelity_std': 0.002819, 'TVD_std': 0.002831, 'JSD_std': 0.001508}",0.008614,SABRE_O3,25,78,7,45,"{'value': 0, 'status': 'VALID'}",1,7,9,8,1.074304,,17,38,7,45,0,,,COMPILED_UNVERIFIED,1.0,38,7,7,7
1,1.0,1.0,0.18855,0.930161,0.035884,1.204293,1.502207,0.0696,3,4,"[125, 126, 127, 128]",0.9304,0.004988,GHZ_4,"{'Hellinger_fidelity_std': 0.002465, 'TVD_std': 0.002452, 'JSD_std': 0.001302}",0.466343,TKET,18,79,3,4,"{'value': 0, 'status': 'VALID'}",1,3,5,4,1.058593,,1,1,3,4,0,,,COMPILED_UNVERIFIED,1.0,23,3,3,3
67,2.0,1.0,0.083828,0.985995,0.010108,5.922825,5.959974,0.09445,18,6,"[87, 97, 107, 108, 109, 118]",,,CrossEnt_6,"{'Hellinger_fidelity_std': 0.001222, 'TVD_std': 0.004326, 'JSD_std': 0.000882}",0.007991,SABRE_O3,42,80,18,85,"{'value': 0, 'status': 'VALID'}",12,9,9,21,5.429731,,28,67,18,85,9,,,COMPILED_UNVERIFIED,2.0,67,14,5,5
334,2.96875,1.0,0.28811,0.840875,0.115652,7.135038,7.519243,0.333062,95,8,"[57, 65, 66, 67, 68, 77, 85, 86]",,,QFT_8_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.003948, 'TVD_std': 0.004595, 'JSD_std': 0.002815}",0.009195,SABRE_O3,194,81,95,429,"{'value': 0.4086, 'status': 'VALID'}",11,32,18,43,5.506353,,131,334,95,429,63,,,COMPILED_UNVERIFIED,2.96875,334,63,7,7
561,3.0,1.0,0.157842,0.950793,0.035446,9.741299,9.860289,0.175767,150,10,"[58, 69, 70, 71, 72, 78, 87, 88, 89, 97]",,,QFT_10_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.002892, 'TVD_std': 0.003709, 'JSD_std': 0.001867}",0.010451,SABRE_O3,280,82,150,711,"{'value': 0.3711, 'status': 'VALID'}",13,50,22,63,8.643856,,198,561,150,711,100,,,COMPILED_UNVERIFIED,3.0,561,82,9,9
336,6.8,1.0,0.15341,0.953484,0.033309,6.16764,6.567536,0.153929,68,7,"[0, 1, 2, 3, 4, 5, 6]",,,QAOA_7_MAXCUT,"{'Hellinger_fidelity_std': 0.002067, 'TVD_std': 0.004378, 'JSD_std': 0.001476}",0.05887,PROMETHEUS,189,83,68,404,"{'value': 0.7785, 'status': 'VALID'}",14,10,9,24,4.316169,,145,336,68,404,58,,,COMPILED_UNVERIFIED,6.8,336,50,6,6
27,1.647059,1.357143,0.203647,0.918775,0.057607,9.611942,9.777448,0.222305,28,10,"[105, 106, 109, 117, 118, 125, 126, 127, 128, 129]",,,CrossEnt_10,"{'Hellinger_fidelity_std': 0.003352, 'TVD_std': 0.003654, 'JSD_std': 0.002082}",0.940673,TKET,99,84,38,55,"{'value': 0, 'status': 'VALID'}",20,17,13,37,8.243318,,7,27,28,55,11,,,COMPILED_UNVERIFIED,2.235294,303,22,9,9
407,4.916667,1.0,0.055108,0.993935,0.004374,4.967226,4.982846,0.0633,59,5,"[0, 1, 2, 3, 4]",,,QFT_5_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.000815, 'TVD_std': 0.004706, 'JSD_std': 0.000587}",0.868896,PROMETHEUS,269,85,59,466,"{'value': 0.1143, 'status': 'VALID'}",7,12,12,19,4.673003,,221,407,59,466,47,,,COMPILED_UNVERIFIED,4.916667,407,52,4,4
48,1.0,1.0,0.26795,0.86156,0.073121,1.418186,2.144524,0.1376,9,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8624,0.006752,GHZ_10,"{'Hellinger_fidelity_std': 0.003659, 'TVD_std': 0.003631, 'JSD_std': 0.002043}",0.00809,SABRE_O3,31,86,9,57,"{'value': 0, 'status': 'VALID'}",1,9,11,10,1.126266,,21,48,9,57,0,,,COMPILED_UNVERIFIED,1.0,48,9,9,9
270,4.875,1.0,0.052555,0.994484,0.003981,3.9685,3.984094,0.0636,39,4,"[0, 1, 2, 3]",,,QFT_4_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.000792, 'TVD_std': 0.005006, 'JSD_std': 0.000572}",1.237589,PROMETHEUS,191,87,39,309,"{'value': 0.1121, 'status': 'VALID'}",6,8,10,14,3.68966,,157,270,39,309,31,,,COMPILED_UNVERIFIED,4.875,270,39,3,3
122,3.142857,1.0,0.064357,0.991734,0.005966,4.950297,4.975721,0.0768,22,5,"[0, 1, 2, 3, 4]",,,CrossEnt_5,"{'Hellinger_fidelity_std': 0.000972, 'TVD_std': 0.004898, 'JSD_std': 0.000702}",1.586662,PROMETHEUS,66,88,22,144,"{'value': 0, 'status': 'VALID'}",10,7,8,17,4.420434,,47,122,22,144,15,,,COMPILED_UNVERIFIED,3.142857,122,20,4,4
17,1.0,1.0,0.109184,0.9763,0.011953,1.068778,1.190751,0.0237,2,3,"[0, 1, 2]",0.9763,0.002981,GHZ_3,"{'Hellinger_fidelity_std': 0.001579, 'TVD_std': 0.001574, 'JSD_std': 0.000804}",2.00209,PROMETHEUS,14,89,2,19,"{'value': 0, 'status': 'VALID'}",1,2,4,3,1.034456,,11,17,2,19,0,,,COMPILED_UNVERIFIED,1.0,17,2,2,2
82,2.725,1.678899,0.155925,0.951966,0.03467,8.738548,8.861689,0.179578,109,12,"[105, 106, 107, 108, 109, 117, 118, 125, 126, 127, 128, 129]",,,QFT_9_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.002429, 'TVD_std': 0.004204, 'JSD_std': 0.001715}",1.621112,TKET,423,90,183,191,"{'value': 0.3447, 'status': 'VALID'}",12,40,20,52,7.532825,,31,82,109,191,69,,,COMPILED_UNVERIFIED,4.575,1064,73,12,12
33,1.0,1.0,0.204419,0.918172,0.042334,1.238401,1.704986,0.0811,6,7,"[0, 1, 2, 3, 4, 5, 6]",0.9189,0.005351,GHZ_7,"{'Hellinger_fidelity_std': 0.002659, 'TVD_std': 0.002643, 'JSD_std': 0.001419}",0.007421,SABRE_O3,22,91,6,39,"{'value': 0, 'status': 'VALID'}",1,6,8,7,1.043051,,15,33,6,39,0,,,COMPILED_UNVERIFIED,1.0,33,6,6,6
29,1.0,1.0,0.167574,0.944626,0.028272,1.162837,1.463637,0.0553,4,5,"[0, 1, 2, 3, 4]",0.9447,0.00448,GHZ_5,"{'Hellinger_fidelity_std': 0.002389, 'TVD_std': 0.002382, 'JSD_std': 0.001246}",1.312081,PROMETHEUS,22,92,4,33,"{'value': 0, 'status': 'VALID'}",1,4,6,5,1.056791,,17,29,4,33,0,,,COMPILED_UNVERIFIED,1.0,29,4,4,4
1303,8.6875,1.0,0.118418,0.972151,0.020052,7.857447,7.922222,0.132069,278,8,"[0, 1, 2, 3, 4, 5, 6, 7]",,,QFT_8_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001707, 'TVD_std': 0.003952, 'JSD_std': 0.001219}",3.514293,PROMETHEUS,893,93,278,1581,"{'value': 0.3271, 'status': 'VALID'}",11,32,18,43,7.137965,,666,1303,278,1581,246,,,COMPILED_UNVERIFIED,8.6875,1303,244,7,7
37,2.5,1.666667,0.073321,0.989277,0.00774,5.938995,5.969057,0.087425,45,6,"[117, 125, 126, 127, 128, 129]",,,QFT_6_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001095, 'TVD_std': 0.004721, 'JSD_std': 0.000791}",0.937747,TKET,248,94,75,82,"{'value': 0.4627, 'status': 'VALID'}",9,18,14,27,5.435963,,19,37,45,82,27,,,COMPILED_UNVERIFIED,4.166667,455,43,5,5
458,9.25,1.0,0.194607,0.92569,0.053683,7.403789,7.735767,0.222965,111,8,"[0, 1, 2, 3, 4, 5, 6, 7]",,,QAOA_8_MAXCUT,"{'Hellinger_fidelity_std': 0.002665, 'TVD_std': 0.00473, 'JSD_std': 0.001936}",0.061955,PROMETHEUS,312,95,111,569,"{'value': 0.6602, 'status': 'VALID'}",16,12,11,28,5.054093,,235,458,111,569,99,,,COMPILED_UNVERIFIED,9.25,458,83,7,7
