1q_gates,E_route_abstract,E_translate,Hellinger_distance,Hellinger_fidelity,JSD,Renyi2_entropy,Shannon_entropy,TVD,abstract_2q_operations,active_physical_qubit_count,active_physical_qubits,algorithmic_success,algorithmic_success_margin_95,benchmark,bootstrap_uncertainty,compile_time_sec,compiler,depth,execution_index,final_native_2q_operations,gate_count,heavy_output_probability,logical_1q_gates,logical_abstract_2q_gates,logical_depth,logical_gate_count,min_entropy,native_2q_operations,one_qubit_depth,routed_1q_gates,routed_abstract_2q_gates,routed_gate_count,routing_induced_2q_overhead,scheduled_duration_dt,semantic_fidelity,status,total_2q_expansion,translated_1q_gates,two_qubit_depth,unique_2q_edge_count,unique_physical_edges_used
33,2.25,1.0,0.040492,0.996724,0.002364,2.982345,2.990745,0.0465,9,3,"[87, 97, 107]",,,QFT_3_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.000588, 'TVD_std': 0.004067, 'JSD_std': 0.000424}",0.009041,SABRE_O3,33,17,9,42,"{'value': 0, 'status': 'VALID'}",4,4,8,8,2.845806,,23,33,9,42,5,,,COMPILED_UNVERIFIED,2.25,33,9,2,2
10,1.75,1.285714,0.045661,0.995834,0.003006,2.976561,2.988055,0.0549,7,3,"[126, 127, 128]",,,QFT_3_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.000657, 'TVD_std': 0.004652, 'JSD_std': 0.000474}",0.567597,TKET,75,18,9,17,"{'value': 0, 'status': 'VALID'}",4,4,8,8,2.784881,,7,10,7,17,3,,,COMPILED_UNVERIFIED,2.25,92,9,2,2
109,2.583333,1.0,0.051479,0.994707,0.003818,4.970771,4.984919,0.05955,31,5,"[97, 106, 107, 108, 109]",,,QFT_5_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.000785, 'TVD_std': 0.004706, 'JSD_std': 0.000566}",0.010735,SABRE_O3,86,19,31,140,"{'value': 0.1198, 'status': 'VALID'}",7,12,12,19,4.714065,,57,109,31,140,19,,,COMPILED_UNVERIFIED,2.583333,109,28,4,4
241,2.708333,1.0,0.083976,0.985946,0.010142,6.920285,6.959454,0.095387,65,7,"[105, 106, 107, 108, 109, 110, 118]",,,QFT_7_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001234, 'TVD_std': 0.004343, 'JSD_std': 0.00089}",0.007525,SABRE_O3,134,20,65,306,"{'value': 0.3738, 'status': 'VALID'}",10,24,16,34,6.333516,,87,241,65,306,41,,,COMPILED_UNVERIFIED,2.708333,241,47,6,6
2324,11.64,1.0,0.201752,0.920249,0.056839,9.591385,9.77544,0.22167,582,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 16, 17, 23, 24, 25, 26, 27]",,,QFT_10_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.003258, 'TVD_std': 0.003903, 'JSD_std': 0.002093}",3.617544,PROMETHEUS,1610,21,582,2906,"{'value': 0.2853, 'status': 'VALID'}",13,50,22,63,8.039785,,1144,2324,582,2906,532,,,COMPILED_UNVERIFIED,11.64,2324,485,17,17
62,2.25,1.0,0.040347,0.996747,0.002347,3.981026,3.990564,0.0484,18,4,"[90, 91, 92, 98]",,,QFT_4_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.000602, 'TVD_std': 0.004778, 'JSD_std': 0.000434}",0.011092,SABRE_O3,53,22,18,80,"{'value': 0.1338, 'status': 'VALID'}",6,8,10,14,3.717857,,34,62,18,80,10,,,COMPILED_UNVERIFIED,2.25,62,18,3,3
24,1.733333,1.384615,0.229931,0.897058,0.073615,8.535606,8.719293,0.258541,26,9,"[105, 109, 117, 118, 125, 126, 127, 128, 129]",,,CrossEnt_9,"{'Hellinger_fidelity_std': 0.003792, 'TVD_std': 0.004387, 'JSD_std': 0.002465}",0.865426,TKET,108,23,36,50,"{'value': 0, 'status': 'VALID'}",18,15,12,33,7.532825,,7,24,26,50,11,,,COMPILED_UNVERIFIED,2.4,276,22,8,8
93,4.0,1.0,0.033085,0.997812,0.001579,2.214469,2.562666,0.040325,12,3,"[0, 1, 2]",,,QAOA_3_MAXCUT,"{'Hellinger_fidelity_std': 0.0005, 'TVD_std': 0.005006, 'JSD_std': 0.00036}",0.056098,PROMETHEUS,76,24,12,105,"{'value': 0.7395, 'status': 'VALID'}",6,3,6,9,1.618827,,63,93,12,105,9,,,COMPILED_UNVERIFIED,4.0,93,12,2,2
39,3.2,1.75,0.285464,0.843662,0.11103,9.403212,9.691803,0.306641,48,12,"[105, 106, 107, 108, 109, 117, 118, 125, 126, 127, 128, 129]",,,QAOA_10_MAXCUT,"{'Hellinger_fidelity_std': 0.003969, 'TVD_std': 0.004544, 'JSD_std': 0.002805}",0.929207,TKET,163,25,84,87,"{'value': 0.6479, 'status': 'VALID'}",20,15,9,35,7.310432,,10,39,48,87,33,,,COMPILED_UNVERIFIED,5.6,483,33,12,12
27,3.2,1.75,0.274541,0.854936,0.10477,6.698845,6.856427,0.308824,32,12,"[105, 106, 107, 108, 109, 117, 118, 125, 126, 127, 128, 129]",,,QAOA_7_MAXCUT,"{'Hellinger_fidelity_std': 0.003358, 'TVD_std': 0.004537, 'JSD_std': 0.002468}",0.734373,TKET,156,26,56,59,"{'value': 0.6172, 'status': 'VALID'}",14,10,9,24,5.467533,,10,27,32,59,22,,,COMPILED_UNVERIFIED,5.6,327,37,12,12
